nome_completo,data_nascimento,idade,rg,cpf,uf_atendimento,data_atendimento,modo_chegada,historico_comorbidades,pressao_sistolica,pressao_diastolica,frequencia_cardiaca,frequencia_respiratoria,temperatura_celsius,spo2_porcento,taxa_hesitacao_porcento,instabilidade_emocional_vocal_porcento,diagnostico_realizado,houve_internacao,urgencia_critica
Ana Vitória Moraes,1958-03-29,68,076342852,678.092.431-87,AP,2026-08-08 20:18:26,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,115,71,73,10,37.6,96,94.97,12.66,Refluxo Gastroesofágico,0,0
Fernando Teixeira,1957-08-13,69,874123562,892.351.704-60,MS,2026-05-05 13:22:54,Acompanhada por familiares apresentando dispneia leve.,Asma,120,63,58,28,37.6,93,17.12,58.48,Refluxo Gastroesofágico,0,0
Enzo Nogueira,1937-05-22,89,083412566,235.416.809-89,AL,2026-03-12 02:16:16,Acompanhada por familiares apresentando dispneia leve.,Hipertensão,91,80,91,15,37.3,100,41.71,39.39,Refluxo Gastroesofágico,0,0
Dr. Kevin da Mata,2007-05-13,19,683421700,529.013.746-70,RO,2026-03-16 15:38:26,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,114,70,92,17,36.3,99,57.55,43.58,Refluxo Gastroesofágico,0,0
Maria Cecília Brito,1959-08-28,67,43876125X,586.041.739-00,TO,2026-09-11 07:03:29,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,118,102,43,12,36.7,97,45.04,91.25,Cefaleia Tensional,0,0
Maria Casa Grande,1987-09-10,39,052416379,084.573.291-97,DF,2026-07-14 10:15:16,Encaminhamento via viatura policial (situação de vulnerabilidade).,Doença Cardiovascular,172,68,103,22,35.5,95,62.04,53.87,Crise de Ansiedade,0,0
Davi Miguel Moreira,1999-03-16,27,276134801,154.309.827-41,ES,2026-07-12 00:46:50,Acompanhada por familiares apresentando dispneia leve.,Asma,97,59,57,14,38.1,98,40.41,9.33,Mialgia (Dor Muscular),0,0
Marcelo Vasconcelos,2003-09-22,23,327815048,275.381.490-23,PR,2026-04-30 16:56:54,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,149,47,123,15,35.8,93,14.85,93.72,Refluxo Gastroesofágico,0,0
Maria Sophia Fernandes,1979-09-28,47,623078545,096.874.132-04,TO,2026-02-07 08:04:45,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,139,79,83,19,36.3,96,8.9,18.52,Cefaleia Tensional,0,0
Cauã Cunha,1997-11-23,28,345287101,274.680.195-76,RS,2026-06-07 11:21:28,Acompanhada por familiares apresentando dispneia leve.,Asma,125,71,53,12,36.6,94,74.44,89.26,Mialgia (Dor Muscular),0,0
Theodoro Câmara,1962-03-12,64,058243677,352.174.896-00,PR,2026-01-07 19:33:11,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,155,58,56,17,36.4,100,23.86,97.09,Refluxo Gastroesofágico,0,0
Vinicius Nascimento,1942-09-04,84,681453278,963.841.250-05,PR,2026-02-26 00:22:49,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,127,97,93,25,36.0,100,84.75,87.78,Cefaleia Tensional,0,0
Dra. Bruna Leão,1955-01-06,71,248760312,741.358.092-60,RO,2026-04-21 22:25:17,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,127,90,75,20,37.6,100,74.3,67.71,Refluxo Gastroesofágico,0,0
Ana Vitória Camargo,1960-02-05,66,164523078,561.743.028-90,RO,2026-05-14 11:21:41,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,118,79,82,18,37.3,91,4.95,74.36,Trauma Físico Severo,1,1
Antony Mendes,2000-08-01,26,480751262,751.680.249-20,TO,2026-03-22 02:34:51,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,144,100,125,19,36.8,100,20.12,69.99,Mialgia (Dor Muscular),0,0
Dr. Luiz Miguel Carvalho,1949-01-22,77,134057260,254.397.108-41,SE,2026-08-15 13:05:42,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,141,89,67,16,36.2,97,29.2,46.05,Mialgia (Dor Muscular),0,0
Stephany Teixeira,1951-03-25,75,473801255,571.364.208-90,GO,2025-12-23 11:02:21,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,107,67,86,27,37.4,100,59.45,27.44,Refluxo Gastroesofágico,0,0
Sr. Kevin Alves,1994-02-27,32,784160326,940.852.317-23,SC,2025-10-10 00:09:50,Encaminhamento via viatura policial (situação de vulnerabilidade).,Doença Cardiovascular,93,64,120,13,36.1,98,80.98,28.5,Mialgia (Dor Muscular),0,0
Srta. Hellena Cardoso,1952-08-18,74,207316843,792.406.138-03,SE,2026-03-10 00:02:05,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,115,92,91,19,37.8,96,6.03,73.12,Crise de Ansiedade,0,0
Srta. Heloísa das Neves,1955-11-30,70,207514860,140.752.396-16,PR,2026-07-06 21:55:20,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,103,85,44,18,36.6,97,24.96,62.6,Crise de Ansiedade,0,0
Gustavo Henrique Cardoso,1997-02-26,29,521064387,871.396.025-30,MA,2026-08-25 12:10:40,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,118,82,97,23,37.5,89,37.62,58.49,Trauma Físico Severo,1,1
Otávio Sales,1975-11-23,50,146078524,752.961.048-11,SE,2026-02-25 01:57:31,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,144,67,55,23,36.4,93,18.34,65.26,Crise de Ansiedade,0,0
Breno Almeida,1975-03-31,51,701683545,201.854.693-70,PA,2025-09-26 19:26:51,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,110,89,120,17,36.6,98,54.53,77.48,Refluxo Gastroesofágico,0,0
Marina Aparecida,1998-06-16,28,01742835X,954.872.106-67,PR,2026-03-27 16:00:34,Encaminhamento via viatura policial (situação de vulnerabilidade).,Doença Cardiovascular,119,68,64,19,37.5,100,47.8,74.83,Mialgia (Dor Muscular),0,0
Cauê Andrade,1994-12-22,31,785230464,215.493.807-88,ES,2025-12-21 14:03:00,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,121,78,159,19,38.3,94,31.65,10.54,Cefaleia Tensional,0,0
Sophie Pastor,1975-10-20,50,183627052,817.456.209-58,SC,2026-04-21 09:38:09,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Asma,136,101,121,10,37.7,96,51.69,36.3,Trauma Físico Severo,1,1
Ravy Campos,1977-11-16,48,432187054,601.398.524-33,PE,2026-05-15 14:03:20,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,75,70,65,10,37.2,90,35.58,26.4,Infarto Agudo do Miocárdio,1,1
Augusto Azevedo,1986-02-19,40,152736803,538.709.164-00,RN,2026-07-10 23:49:48,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,107,56,85,14,37.0,100,34.32,53.82,Cefaleia Tensional,0,0
Anthony Sá,1957-06-04,69,175043620,986.520.734-65,PA,2026-05-10 21:08:39,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,124,64,103,15,36.1,100,26.54,6.14,Crise de Ansiedade,1,0
Davi Pereira,1976-01-20,50,724108634,649.183.072-13,SC,2026-05-22 01:20:16,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,144,94,104,12,36.7,99,54.04,76.25,Crise de Ansiedade,0,0
Guilherme Cirino,1957-06-13,69,306412871,521.406.738-08,AC,2026-02-13 03:41:23,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,110,83,96,21,35.8,98,44.41,10.65,Refluxo Gastroesofágico,0,0
Marcela Alves,2001-02-01,25,231075467,125.480.793-41,AC,2026-01-03 09:00:38,Acompanhada por familiares apresentando dispneia leve.,Hipertensão,82,78,116,18,36.8,100,19.63,27.14,Refluxo Gastroesofágico,0,0
Diogo Souza,1990-08-25,36,327501480,083.659.741-93,AL,2026-06-06 17:53:50,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,132,72,81,16,36.9,93,1.3,78.27,Crise de Ansiedade,0,0
Luiz Fernando Fogaça,1938-09-14,88,273185408,460.753.921-06,DF,2025-12-11 08:06:24,Acompanhada por familiares apresentando dispneia leve.,Asma,107,87,75,11,34.9,93,15.09,5.16,Refluxo Gastroesofágico,0,0
Theodoro Vasconcelos,2002-10-21,23,217053683,076.423.519-25,SP,2025-12-01 07:50:43,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,96,67,76,17,36.5,100,4.28,66.02,Cefaleia Tensional,0,0
Dra. Isabella Montenegro,1966-05-27,60,428516373,593.124.786-64,BA,2025-10-05 19:35:27,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,107,84,106,10,36.8,100,43.16,92.45,Crise de Ansiedade,0,0
Ana Lívia Brito,1983-10-04,43,015834268,460.715.829-11,AL,2026-03-28 21:13:28,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,116,69,94,17,36.4,92,22.51,61.76,Infarto Agudo do Miocárdio,1,1
Alice Moura,1955-05-15,71,163547208,649.210.375-07,MG,2025-11-26 13:12:38,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,107,66,92,18,36.8,94,42.05,71.27,Mialgia (Dor Muscular),0,0
Gael da Paz,1939-07-12,87,027861430,956.183.204-60,MG,2026-01-18 21:40:26,Encaminhamento via viatura policial (situação de vulnerabilidade).,Hipertensão,75,70,104,19,35.4,100,32.94,79.23,Crise de Ansiedade,0,0
Vitor Gabriel Abreu,1940-09-30,86,423610570,341.678.590-84,ES,2026-03-28 15:10:04,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,137,74,40,10,35.9,98,53.8,22.22,Crise de Ansiedade,0,0
Srta. Hadassa Montenegro,2005-01-02,21,04832176X,703.921.654-06,AP,2026-03-16 11:30:49,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,145,79,92,19,37.3,100,72.39,58.1,Refluxo Gastroesofágico,0,0
Sra. Maria Clara Sampaio,1978-09-04,48,402176832,857.214.093-04,SE,2026-08-01 00:55:09,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,133,83,90,12,36.5,92,47.93,30.91,Insuficiência Respiratória,1,1
Ester Macedo,1943-07-12,83,503287416,346.871.509-93,SE,2026-05-17 12:00:04,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,97,40,126,13,36.8,99,6.2,24.95,Crise de Ansiedade,0,0
Bianca Cirino,1970-07-20,56,85142367X,691.374.280-04,RS,2026-08-17 21:56:49,Trazida pelo resgate (SAMU) com suspeita de síncope.,Asma,115,67,46,21,36.1,91,1.75,19.25,Trauma Físico Severo,0,1
Dr. Otávio Cunha,1969-12-25,56,036742156,172.698.035-95,TO,2026-05-28 10:24:09,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,119,74,123,28,36.5,89,21.32,58.54,Infarto Agudo do Miocárdio,1,1
Heloísa Jesus,1962-02-03,64,705841637,741.629.835-00,SE,2026-07-12 08:01:30,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,131,102,86,18,34.7,99,42.5,79.45,Refluxo Gastroesofágico,0,0
Levi Campos,1975-04-17,51,645208371,063.489.521-42,RR,2026-01-27 18:45:27,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,133,63,97,13,37.2,100,4.49,87.59,Cefaleia Tensional,0,0
Brenda Moreira,1955-01-08,71,587063415,542.036.179-52,PR,2026-03-21 21:48:05,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,105,82,126,18,37.9,95,32.77,42.86,Crise de Ansiedade,0,0
Thales Teixeira,1978-11-11,47,275431800,097.462.138-22,SE,2026-08-14 15:36:05,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,121,102,99,22,35.6,94,88.7,37.29,Cefaleia Tensional,0,0
Dr. Asafe Barros,1976-09-11,50,824051671,617.385.409-01,RO,2026-07-23 00:02:59,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,129,60,95,21,35.7,100,9.0,68.73,Cefaleia Tensional,0,0
Dr. Danilo Gomes,1993-09-13,33,510768349,518.724.369-19,PB,2026-05-15 13:40:18,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,149,85,91,31,36.9,96,94.85,78.04,Mialgia (Dor Muscular),0,0
Rafael Peixoto,1941-09-18,85,638740526,961.075.832-03,AM,2025-11-14 08:58:41,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,134,67,72,14,37.7,96,85.67,25.33,Refluxo Gastroesofágico,0,0
Sra. Melina Câmara,1948-01-08,78,501273645,401.375.892-04,RO,2026-02-13 23:38:07,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,135,72,84,19,36.5,100,83.18,29.73,Cefaleia Tensional,0,0
Maria Luísa da Rocha,1983-01-26,43,175623041,431.728.960-13,BA,2025-10-07 11:59:07,Acompanhada por familiares apresentando dispneia leve.,Diabetes,121,67,67,25,35.5,95,86.37,53.34,Crise de Ansiedade,0,0
Esther Azevedo,1977-04-08,49,705324163,049.213.758-79,SE,2026-02-24 05:49:49,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,148,69,83,25,36.3,94,8.01,44.44,Mialgia (Dor Muscular),0,0
Maria Eduarda Cavalcanti,1998-12-31,27,861507344,157.893.064-20,BA,2025-10-29 01:03:33,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,128,120,40,10,35.7,100,15.12,70.58,Crise de Ansiedade,0,0
Samuel Rocha,1981-10-12,44,70256834X,405.681.739-10,SE,2026-06-18 17:47:43,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,102,92,95,17,36.0,94,13.44,50.45,Refluxo Gastroesofágico,0,0
Miguel Macedo,1936-12-16,89,01825374X,723.481.690-96,PI,2025-12-24 18:33:42,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Diabetes,148,96,81,25,36.3,96,11.12,11.16,Cefaleia Tensional,0,0
Antonella Campos,1951-09-03,75,783042516,823.107.456-26,AL,2026-04-13 09:17:08,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,133,87,76,32,35.8,91,32.77,16.6,Crise Hipertensiva Severa,1,1
Miguel Guerra,1987-06-05,39,607381450,261.539.480-06,MA,2026-01-01 19:34:06,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,111,55,90,21,35.9,97,83.02,90.19,Cefaleia Tensional,0,0
Dra. Bella Sousa,1948-02-04,78,642037589,492.561.830-05,RR,2026-01-10 14:22:36,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Nenhuma,110,85,49,16,36.6,97,25.2,22.74,Mialgia (Dor Muscular),0,0
Benício Fonseca,2005-08-12,21,234086518,156.098.432-51,MA,2026-06-22 20:57:27,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,125,96,133,12,36.7,100,24.42,5.01,Refluxo Gastroesofágico,0,0
Lucca Costa,1998-10-16,27,723618057,467.913.025-34,BA,2026-03-30 02:22:38,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,129,67,82,29,35.4,100,67.59,73.15,Cefaleia Tensional,0,0
Maria Luiza Campos,1972-12-08,53,057412364,513.708.264-35,GO,2025-12-16 01:26:37,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,123,94,81,21,36.8,99,9.69,68.4,Refluxo Gastroesofágico,0,0
Otávio Silveira,2007-12-22,18,357481604,970.436.281-13,TO,2025-12-06 13:33:37,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,126,90,60,13,36.2,98,36.03,60.01,Mialgia (Dor Muscular),0,0
Lara Teixeira,1936-02-11,90,385627403,867.451.930-00,AM,2026-06-05 18:20:38,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,153,107,85,16,37.1,96,29.54,50.23,Refluxo Gastroesofágico,0,0
Dra. Júlia Sá,1973-11-27,52,240713850,945.631.072-80,MG,2026-07-06 23:43:43,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,141,73,119,19,37.1,99,84.73,96.96,Crise de Ansiedade,0,0
Maria Liz Fogaça,1955-09-06,71,346827103,352.067.891-86,PA,2025-11-23 14:08:52,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,123,63,110,20,36.1,92,51.45,11.98,Infarto Agudo do Miocárdio,1,1
Maria Luiza Mendonça,1993-09-27,33,734612850,681.745.902-85,SE,2026-09-03 09:23:57,Trazida pelo resgate (SAMU) com suspeita de síncope.,Asma,138,74,106,13,37.0,87,64.65,51.02,Crise Hipertensiva Severa,1,1
Lara Casa Grande,1992-05-25,34,528140760,386.152.709-02,AL,2026-07-23 11:12:22,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,99,101,98,14,35.8,100,12.9,56.4,Crise de Ansiedade,0,0
Bianca Campos,1949-06-02,77,761835404,243.750.816-35,SP,2025-12-05 21:35:43,Encaminhamento via viatura policial (situação de vulnerabilidade).,Doença Cardiovascular,127,52,76,10,37.6,99,92.89,2.25,Mialgia (Dor Muscular),0,0
Samuel Monteiro,1975-09-14,51,340816570,762.849.035-29,SE,2025-12-06 12:55:50,Trazida pelo resgate (SAMU) com suspeita de síncope.,Asma,156,48,48,23,35.9,96,32.25,41.2,Cefaleia Tensional,0,0
Davi Luiz Alves,1940-01-24,86,631204878,016.297.538-40,PR,2026-03-04 04:45:16,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,115,81,79,16,36.8,100,70.68,78.28,Cefaleia Tensional,0,0
Benjamim Azevedo,1951-02-18,75,15378264X,621.045.973-07,CE,2026-09-08 05:24:56,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,103,73,79,20,36.3,94,95.46,47.11,Cefaleia Tensional,0,0
Amanda Cavalcanti,1984-05-30,42,261375088,431.029.765-06,RN,2026-03-13 16:16:35,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,106,80,111,25,35.7,94,50.86,87.53,Mialgia (Dor Muscular),0,0
Lunna Cassiano,1949-10-12,77,35802416X,206.195.847-85,TO,2026-02-06 05:02:00,Encaminhamento via viatura policial (situação de vulnerabilidade).,Diabetes,98,94,92,19,37.2,93,50.75,64.48,Cefaleia Tensional,0,0
Calebe Teixeira,1974-04-04,52,518627342,016.732.985-59,RR,2026-01-15 12:59:03,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,104,71,125,17,36.0,99,11.72,76.61,Refluxo Gastroesofágico,0,0
Vicente Vargas,1960-11-10,65,210638746,957.823.046-00,RN,2026-01-01 11:22:16,Encaminhamento via viatura policial (situação de vulnerabilidade).,Doença Cardiovascular,112,51,114,18,35.1,90,39.03,80.45,Insuficiência Respiratória,1,1
Nina Costa,1965-04-05,61,453721060,431.275.908-14,TO,2026-01-03 18:07:11,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,91,110,73,18,34.2,93,85.25,68.95,Crise de Ansiedade,0,0
Theo Mendonça,1978-11-09,47,243170567,932.541.608-51,PE,2026-02-09 21:46:40,Acompanhada por familiares apresentando dispneia leve.,Hipertensão,120,65,40,24,35.8,98,13.51,74.94,Crise de Ansiedade,0,0
Joana Nogueira,2002-03-20,24,210385467,963.257.140-16,SE,2025-09-28 13:13:18,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,138,64,119,19,37.6,92,91.75,69.53,Crise Hipertensiva Severa,1,1
Sr. Arthur Gabriel Lopes,1956-09-23,70,462183051,471.958.062-94,RJ,2025-12-03 20:16:54,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,101,96,118,15,37.5,94,66.73,55.05,Crise de Ansiedade,0,0
Matheus Machado,1953-11-28,72,732148509,278.651.094-58,MS,2025-09-29 19:12:01,Encaminhamento via viatura policial (situação de vulnerabilidade).,Hipertensão,150,74,50,23,35.9,88,42.1,56.65,Crise Hipertensiva Severa,1,1
Dr. Pedro Miguel Marques,1998-03-25,28,536087143,240.139.758-23,MT,2026-07-22 23:51:56,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,130,79,122,24,36.2,99,54.65,18.99,Trauma Físico Severo,1,1
Arthur Gabriel Cavalcanti,1944-10-29,81,457081326,540.392.681-05,DF,2026-01-31 21:50:14,Trazida pelo resgate (SAMU) com suspeita de síncope.,Asma,140,87,94,11,36.1,94,15.05,82.74,Cefaleia Tensional,0,0
Liz Santos,1966-05-28,60,230871458,651.379.428-55,SP,2026-01-14 13:17:57,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,106,96,89,25,35.4,92,21.75,31.21,Infarto Agudo do Miocárdio,1,1
Samuel Lopes,1983-01-22,43,310546874,321.769.845-28,MA,2025-10-23 21:58:50,Acompanhada por familiares apresentando dispneia leve.,Diabetes,137,74,125,19,35.7,91,28.64,53.57,Insuficiência Respiratória,1,1
Leonardo Silva,1972-01-23,54,641537086,648.027.195-58,MT,2025-11-05 03:41:29,Acompanhada por familiares apresentando dispneia leve.,Doença Cardiovascular,98,102,118,19,37.3,95,38.48,24.95,Cefaleia Tensional,0,0
Raquel Teixeira,2007-02-10,19,306572813,150.946.273-25,PR,2026-01-15 00:42:20,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,137,47,101,23,36.9,90,91.55,69.59,Infarto Agudo do Miocárdio,1,1
Samuel Ribeiro,1965-05-02,61,06354782X,028.541.796-76,MS,2025-11-16 09:47:24,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,123,91,96,15,36.7,100,36.76,97.52,Cefaleia Tensional,0,0
Ágatha Oliveira,1949-09-07,77,681532403,495.361.027-06,MG,2026-08-19 07:09:24,Trazida pelo resgate (SAMU) com suspeita de síncope.,Nenhuma,131,67,100,22,35.4,87,52.38,80.19,Crise Hipertensiva Severa,1,1
Olívia Novais,1954-03-12,72,214360787,695.402.871-11,PE,2026-01-24 00:30:21,Trazida pelo resgate (SAMU) com suspeita de síncope.,Doença Cardiovascular,96,100,74,16,36.6,95,16.2,61.91,Crise de Ansiedade,0,0
Thiago Araújo,1945-02-01,81,068237145,648.320.517-17,TO,2026-05-15 12:44:52,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,102,82,83,10,34.7,97,73.6,56.75,Refluxo Gastroesofágico,0,0
Julia Monteiro,1949-03-09,77,187206545,723.061.495-34,SE,2026-05-11 20:16:16,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Asma,131,69,62,13,37.2,93,56.03,48.98,Crise de Ansiedade,0,0
Maria Flor Pimenta,1982-07-05,44,160725380,849.260.317-87,ES,2026-02-15 02:51:28,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,101,89,76,20,36.7,97,43.99,20.5,Cefaleia Tensional,0,0
Maria Vargas,1944-06-27,82,267415084,982.640.173-04,MA,2025-10-18 22:11:31,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,129,93,75,13,35.4,93,94.72,34.8,Mialgia (Dor Muscular),0,0
Lorenzo Araújo,1984-09-18,42,068245713,948.065.731-75,TO,2026-05-22 18:10:20,Meios próprios com queixa de crise de ansiedade e palpitação.,Nenhuma,92,89,69,26,37.8,100,89.07,40.64,Refluxo Gastroesofágico,0,0
Augusto Cardoso,1945-05-25,81,074356215,687.340.129-31,PE,2025-09-29 01:03:53,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,136,64,88,23,35.1,92,65.95,94.46,Insuficiência Respiratória,1,1
Dr. Apollo Teixeira,1938-08-31,88,207568418,469.215.078-58,CE,2026-07-13 17:29:24,Acompanhada por familiares apresentando dispneia leve.,Nenhuma,95,72,76,24,36.9,87,92.18,42.56,Infarto Agudo do Miocárdio,1,1
Manuela Garcia,2008-08-05,18,427305810,826.437.590-10,RS,2026-05-10 18:07:53,Acompanhada por familiares apresentando dispneia leve.,Hipertensão,131,79,97,18,36.9,91,56.48,58.62,Infarto Agudo do Miocárdio,1,1
Paulo Ferreira,1990-02-08,36,235470818,485.931.260-06,BA,2026-08-16 22:03:25,Meios próprios com queixa de crise de ansiedade e palpitação.,Doença Cardiovascular,132,79,44,19,35.5,98,82.69,92.24,Cefaleia Tensional,0,0
Dr. Luiz Fernando Araújo,1989-02-10,37,524876137,231.978.056-40,PB,2025-10-12 10:24:46,Meios próprios com queixa de crise de ansiedade e palpitação.,Asma,106,91,82,12,36.5,96,40.95,51.84,Cefaleia Tensional,0,0
Isabelly da Cruz,1985-08-31,41,761348207,941.236.058-42,PR,2025-12-17 18:53:20,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,131,49,88,22,35.2,100,8.67,25.14,Cefaleia Tensional,0,0
Leonardo Pastor,1945-06-08,81,052374683,154.236.089-70,PE,2026-03-24 09:25:43,Acompanhada por familiares apresentando dispneia leve.,Diabetes,125,85,77,19,34.2,99,99.41,38.1,Mialgia (Dor Muscular),0,0
Benício das Neves,1951-08-27,75,673082453,573.894.260-47,RN,2026-04-28 16:12:31,Encaminhamento via viatura policial (situação de vulnerabilidade).,Nenhuma,109,75,80,20,35.6,94,16.56,37.55,Refluxo Gastroesofágico,0,0
Lucca Cavalcante,2005-10-07,20,054162385,029.651.483-70,DF,2025-11-04 05:04:32,Meios próprios com queixa de crise de ansiedade e palpitação.,Diabetes,99,67,45,26,36.0,95,25.15,71.47,Crise de Ansiedade,0,0
Vitor Gabriel Duarte,1977-09-03,49,506217346,076.593.182-68,GO,2025-12-14 09:27:54,Encaminhamento via viatura policial (situação de vulnerabilidade).,Asma,80,68,93,14,37.0,95,16.31,29.61,Cefaleia Tensional,0,0
Raul Ribeiro,1983-04-26,43,608142359,501.629.384-89,PE,2026-05-29 03:37:14,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,126,76,101,17,36.6,100,33.75,73.03,Cefaleia Tensional,0,0
Sophie Leão,1988-02-02,38,68504371X,298.156.307-68,GO,2026-03-06 16:20:15,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,88,40,97,19,36.6,99,28.93,88.92,Cefaleia Tensional,0,0
Antônio Sampaio,1996-04-26,30,473062586,754.139.602-80,RS,2025-11-01 18:49:49,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,121,69,110,13,35.7,100,60.11,33.61,Crise de Ansiedade,0,0
Alícia Dias,1936-09-24,90,107428362,912.785.630-59,ES,2025-10-04 19:13:06,Meios próprios com queixa de crise de ansiedade e palpitação.,Hipertensão,114,66,90,17,36.1,100,99.65,13.53,Cefaleia Tensional,0,0
Maria Julia Duarte,1943-07-15,83,268570437,906.854.213-33,DF,2026-05-14 09:02:52,Trazida pelo resgate (SAMU) com suspeita de síncope.,Diabetes,133,87,96,20,35.8,96,5.25,63.86,Mialgia (Dor Muscular),0,0
Beatriz Mendonça,1950-10-16,75,248760518,729.483.105-04,DF,2025-12-04 23:49:08,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Doença Cardiovascular,113,67,88,16,35.5,92,77.84,36.09,Crise Hipertensiva Severa,1,1
Gustavo Fernandes,1946-04-08,80,358217040,348.956.012-42,DF,2026-02-16 11:47:36,Chegou ao pronto-socorro por meios próprios devido à dor torácica aguda.,Hipertensão,113,76,102,24,36.0,97,12.8,53.4,Cefaleia Tensional,0,0
Sarah Teixeira,1988-08-09,38,376842015,738.540.162-71,MG,2026-03-08 15:41:17,Trazida pelo resgate (SAMU) com suspeita de síncope.,Hipertensão,134,103,45,10,36.6,96,1.98,63.42,Cefaleia Tensional,1,0
